11.3542, latitude, -26.4068, longitude, -3.21657
10.9388, latitude, -25.7854, longitude, -3.21678
10.4323, latitude, -24.6925, longitude, -3.21635
10.151, latitude, -23.7728, longitude, -3.21703
8.28776, latitude, -22.9891, longitude, -3.21676
4.95833, latitude, -22.0569, longitude, -3.21689
2.66667, latitude, -21.1102, longitude, -3.21683
1.48307, latitude, -20.3312, longitude, -3.21688
1.26172, latitude, -19.3859, longitude, -3.21662
1.19271, latitude, -18.595, longitude, -3.21661
0.240885, latitude, -17.7725, longitude, -3.21664
0, latitude, -16.7329, longitude, -3.21658
0.157552, latitude, -15.8627, longitude, -3.21663
0.598958, latitude, -15, longitude, -3.21655
1.5612, latitude, -14.1415, longitude, -3.21676
2.63151, latitude, -13.2996, longitude, -3.21667
3.72266, latitude, -12.4626, longitude, -3.21655
4.58333, latitude, -11.6119, longitude, -3.21664
5.29036, latitude, -10.7604, longitude, -3.21688
6.08203, latitude, -9.89221, longitude, -3.21671
5.95182, latitude, -9.02449, longitude, -3.21666
5.99479, latitude, -7.99046, longitude, -3.21675
5.89193, latitude, -7.13077, longitude, -3.21662
6.47656, latitude, -6.2736, longitude, -3.21689
7.78125, latitude, -5.40119, longitude, -3.21668
8.46094, latitude, -4.52779, longitude, -3.21678
7.14453, latitude, -3.64625, longitude, -3.21669
6.07161, latitude, -3.64662, longitude, -3.21684
5.42578, latitude, -1.88508, longitude, -3.21686
4.37891, latitude, -1.88508, longitude, -3.21686
3.50391, latitude, -0.158827, longitude, -3.21662
2.98698, latitude, -0.158827, longitude, -3.21662
2.84245, latitude, 1.53951, longitude, -3.21694
1.91146, latitude, 1.53951, longitude, -3.21694
2.23698, latitude, 3.42405, longitude, -3.2167
2.48698, latitude, 3.42405, longitude, -3.2167
2.5599, latitude, 5.15356, longitude, -3.21668
3.01823, latitude, 5.15356, longitude, -3.21668
2.99479, latitude, 6.89024, longitude, -3.2167
2.79427, latitude, 6.89024, longitude, -3.2167
2.63281, latitude, 8.60991, longitude, -3.21692
1.96484, latitude, 8.60991, longitude, -3.21692
1.46354, latitude, 10.3464, longitude, -3.21701
0.863281, latitude, 10.3464, longitude, -3.21701
0.707031, latitude, 12.1035, longitude, -3.21674
0.490885, latitude, 12.1035, longitude, -3.21674
0.871094, latitude, 13.8397, longitude, -3.21672
1.22656, latitude, 13.8397, longitude, -3.21672
1.29167, latitude, 14.7104, longitude, -3.21656
2.04036, latitude, 15.5815, longitude, -3.21678
2.11849, latitude, 16.4428, longitude, -3.21666
2.39974, latitude, 17.2911, longitude, -3.21685
2.65495, latitude, 18.3259, longitude, -3.2168
2.81901, latitude, 19.1959, longitude, -3.21696
2.77344, latitude, 20.0732, longitude, -3.21681
2.6862, latitude, 20.9531, longitude, -3.21684
1.8763, latitude, 21.8249, longitude, -3.21648
1.14714, latitude, 22.6962, longitude, -3.21655
1.15755, latitude, 23.558, longitude, -3.21684
1.06771, latitude, 24.4085, longitude, -3.21671
0.373698, latitude, 25.2656, longitude, -3.21676
0.432292, latitude, 26.1314, longitude, -3.21691
0.815104, latitude, 26.9877, longitude, -3.21672
1.26042, latitude, 27.8562, longitude, -3.21643
1.2513, latitude, 28.6834, longitude, -3.21681
1.40625, latitude, 29.6929, longitude, -3.21695
1.73307, latitude, 30.5405, longitude, -3.21668
2.55599, latitude, 31.3885, longitude, -3.21672
2.69141, latitude, 32.2264, longitude, -3.21674
2.35677, latitude, 33.0585, longitude, -3.21679
1.60807, latitude, 34.0578, longitude, -3.21688
1.52604, latitude, 34.9237, longitude, -3.21646
1.46484, latitude, 35.7882, longitude, -3.21645
1.40495, latitude, 36.6471, longitude, -3.21668
0.535156, latitude, 37.4984, longitude, -3.21651
0, latitude, 38.3505, longitude, -3.21675
0, latitude, 39.3194, longitude, -3.21649
0, latitude, 40.2623, longitude, -3.21659
0, latitude, 40.887, longitude, -3.2165
0, latitude, 41.9862, longitude, -3.21659
0, latitude, 42.7654, longitude, -3.21684
0, latitude, 43.7045, longitude, -3.21664
0, latitude, 44.6256, longitude, -3.2164
0, latitude, 45.3686, longitude, -3.21675
0, latitude, 46.2497, longitude, -3.21694
0, latitude, 47.1307, longitude, -3.21667
